Iteration,Time (seconds),Result
1,1.23,L
2,47,W
3,0.13,L
4,50.01,L
5,11.71,L
6,52.33,L
7,46.55,L
8,41.64,L
9,65.77,L
10,48.7,L
11,47.01,W
12,47.4,W
13,2.58,L
14,55.53,L
15,43.99,L
16,5.8,W
17,67.6,L
18,10.23,L
19,3.11,L
20,7.47,L
21,15.76,L
22,24.82,L
23,36.01,L
24,47.71,W
25,47.22,L
26,1.12,L
27,9.56,L
28,10.48,L
29,51.22,L
30,45.61,L
31,1.41,L
32,84.53,L
33,49.78,L
34,53.21,L
35,9.96,L
36,4.19,L
37,43.71,W
38,48.48,W
39,47.97,W
40,47.27,W
41,63.93,L
42,47.6,W
43,1.19,L
44,22.27,L
45,41.17,W
46,18.9,L
47,3.01,L
48,47.48,W
49,31.15,L
50,47.79,W